club_id,domestic_competition_id,average_age,stadium_name,stadium_seats,net_transfer_record_in_euros
5572,GR1,27.2,Panthessaliko Stadio,22700,0
5817,DK1,24,Sydbank Park,10000,+1.80m
605,GR1,28.5,"Gipedo ""Kleanthis Vikelidis""",22800,+7.05m
995,FR1,26.2,Stade de la Beaujoire,37463,+12.85m
1003,GB1,27.1,King Power Stadium,32273,+26.00m
1237,GB1,25.5,AMEX Stadium,31800,+86.40m
1436,PO1,26.6,Estadio Municipal de Aveiro,32830,0
1455,NL1,23.3,Matchoholic Stadion,4235,0
14589,RU1,24.7,Gazovik,10046,-3.65m
1519,SC1,24.7,Tannadice Park,14223,+350k
16239,UKR1,24.3,Stadion im. Yuriya Gagarina,12060,0
173,DK1,24,Nature Energy Park,15790,+9.54m
200,NL1,25,"Stadion ""Galgenwaard""",23750,+8.90m
206,DK1,25.5,Brondby Stadion,28000,+5.51m
2715,BE1,23.5,Stade du Paray,6744,+400k
28956,GR1,24.3,Stadio Mytilinis,4000,0
2969,FR1,25.8,Stade Gaston-Gerard,16098,+1.50m
2995,PO1,25.5,Estadio Capital do Movel,9076,0
3426,DK1,22.7,Blue Water Arena,16942,0
3522,IT1,24.4,Alberto Picco,11676,-3.95m
3609,RU1,23.9,Volgograd Arena,45568,-13k
39097,UKR1,27.2,Obolon-Arena,5103,-80k
39722,TR1,26.1,Erzurum Kazim Karabekir,23700,+70k
40,FR1,22.7,Matmut Atlantique,42115,+12.70m
41274,BE1,23.9,Olympisch Stadion,12771,+395k
43,SC1,25.8,Tynecastle Park,19852,+150k
47,GR1,24.3,Kaftanzoglio Stadio,27770,0
4750,PO1,23.4,Estadio Jose Arcanjo,10080,0
589,TR1,26.5,Corendon Airlines Park Antalya Stadi,32537,+9.43m
6,TR1,23.9,Yeni Adana Stadyumu,33000,0
6195,IT1,26.2,Stadio Diego Armando Maradona,54726,-23.50m
82,L1,24.7,Volkswagen Arena,28917,-600k
1050,ES1,28.3,La Ceramica,23500,+99.40m
1096,BE1,24.7,De Bosuil,16144,+29.35m
1147,FR1,27.5,Stade Francois-Coty,10446,0
130,IT1,24.9,Ennio Tardini,22352,-4.37m
1429,IT1,26,Orogel Stadium - Dino Manuzzi,23860,+335k
15,L1,24.7,BayArena,30210,-13.60m
16247,UKR1,24.3,Obolon,5100,0
20100,DK1,24.3,Harboe Arena,10000,0
20698,TR1,22,Balikesir Ataturk,15800,0
2323,TR1,20,19 Eylul Stadyum,11024,0
2722,IT1,26,Paolo Mazza,16134,+2.75m
276,IT1,25,Marcantonio Bentegodi,39211,+79.16m
3329,PO1,23.8,Estadio Municipal de Famalicao,5305,+10.80m
3691,RU1,24.3,Trud,10028,0
370,SC1,25,Pittodrie Stadium,22199,+1.79m
475,BE1,23.2,Daio Wasabi Stayen Stadium,14600,-60k
49364,UKR1,25.7,Stadion Ingulets,1720,+100k
498,BE1,24.3,Daknamstadion,12000,0
524,TR1,24.3,Gaziantep Stadyumu,33502,0
553,GR1,28.4,Dimotiko Gipedo Neapolis,5500,0
642,NL1,23.7,"Stadion ""De Vijverberg""",12600,0
6676,GR1,26.4,Gipedo Theodoros Kolokotronis,7423,+100k
703,GB1,26.9,The City Ground,30445,-52.23m
80,L1,27.8,Vonovia Ruhrstadion,26000,-2.45m
976,PO1,24.3,Centro Desportivo da Madeira,2500,0
1031,GB1,27.2,Kenilworth Road,11050,-23.92m
1071,GB1,24,DW Stadium,25133,+290k
1090,NL1,23.1,AFAS Stadion,19478,+43.90m
1110,GB1,26.7,John Smith's Stadium,24500,+11.28m
11126,RU1,24.3,Mordovia Arena,44442,0
1159,FR1,25.7,Stade Marcel-Picot,20087,0
12438,RU1,24.3,Zentralstadion Lokomotiv,17856,0
1301,PO1,27.2,Estadio do Maritimo,10600,+200k
1304,NL1,24.2,Erve Asito,12080,0
1421,FR1,24.4,Stade Auguste-Delaune,21684,+28.05m
1423,FR1,23.6,Stade du Hainaut,25000,+2.52m
162,FR1,23.8,Stade Louis-II,17000,-23.50m
20,TR1,21.4,Bursa Buyuksehir Belediye Stadyumu,43361,0
235,NL1,25.6,Mandemakers Stadion,7508,0
24,L1,24.1,Deutsche Bank Park,56500,+75.35m
2441,GR1,27.7,OPAP Arena,32500,-9.35m
2861,BE1,23.3,Diaz Arena,8432,0
294,PO1,24.8,Estadio da Luz,64642,-51.42m
