club_id,domestic_competition_id,average_age,stadium_seats,net_transfer_record
498,BE1,,12000,0.0
524,TR1,,33502,0.0
553,GR1,28.4,5500,0.0
642,NL1,23.7,12600,0.0
6676,GR1,26.4,7423,100000.0
703,GB1,26.9,30445,-52230000.0
80,L1,27.8,26000,-2450000.0
976,PO1,,2500,0.0
1031,GB1,27.2,11050,-23920000.0
1071,GB1,24.0,25133,290000.0
1090,NL1,23.1,19478,43900000.0
1110,GB1,26.7,24500,11280000.0
11126,RU1,,44442,0.0
1159,FR1,25.7,20087,0.0
12438,RU1,,17856,0.0
1301,PO1,27.2,10600,200000.0
1304,NL1,24.2,12080,0.0
1421,FR1,24.4,21684,28050000.0
1423,FR1,23.6,25000,2520000.0
162,FR1,23.8,17000,-23500000.0
20,TR1,21.4,43361,0.0
235,NL1,25.6,7508,0.0
24,L1,24.1,56500,75350000.0
2441,GR1,27.7,32500,-9350000.0
2861,BE1,23.3,8432,0.0
294,PO1,24.8,64642,-51420000.0
3060,GR1,25.9,9050,0.0
331,ES1,28.0,23576,-6500000.0
3336,PO1,,5441,0.0
3709,ES1,27.1,16800,-5000000.0
383,NL1,24.9,35000,-3530000.0
499,NL1,23.1,21248,750000.0
610,NL1,23.1,55600,47100000.0
6414,UKR1,,38685,0.0
6993,UKR1,,12680,100000.0
750,FR1,23.0,20005,6300000.0
762,GB1,27.3,52338,-108600000.0
825,TR1,23.9,34930,0.0
1041,FR1,24.9,59186,49440000.0
10690,UKR1,23.8,4700,1800000.0
1084,ES1,27.9,30044,950000.0
1148,GB1,25.2,17250,-62260000.0
1162,FR1,25.7,20500,3050000.0
1184,BE1,23.2,24956,-7300000.0
1186,RU1,25.6,81000,-2050000.0
128,GR1,,7361,0.0
1283,NL1,25.6,8309,0.0
142,ES1,26.0,33608,30000.0
16,L1,25.0,81365,47850000.0
202,NL1,22.9,22555,-586000.0
2288,GB1,24.8,21088,8350000.0
237,ES1,28.4,26020,-2300000.0
2381,TR1,28.7,27532,5020000.0
2423,PO1,25.4,12500,0.0
2425,PO1,26.9,5300,0.0
2451,SC1,24.5,7750,0.0
265,GR1,28.8,15000,-8000000.0
2832,TR1,26.6,33502,-585000.0
3558,FR1,26.8,4050,0.0
4102,IT1,23.6,5510,0.0
42,L1,25.0,49000,-300000.0
641,GB1,26.1,33746,16680000.0
667,FR1,24.6,26109,-27700000.0
681,ES1,25.8,39313,-3600000.0
873,GB1,25.9,26047,-38700000.0
1032,GB1,23.1,24161,3060000.0
1039,GB1,25.9,18360,900000.0
1244,ES1,28.6,12454,1000000.0
14171,FR1,27.4,2500,0.0
16704,RU1,24.7,35179,-8080000.0
19771,TR1,21.0,12139,5000.0
244,FR1,25.2,67394,-37200000.0
29228,BE1,,10830,40000.0
3216,TR1,,25000,0.0
3508,BE1,25.2,12250,4000000.0
354,BE1,24.4,16672,-300000.0
367,ES1,28.8,14708,-11600000.0
379,GB1,28.3,62500,21000000.0
380,IT1,26.1,29739,-24090000.0
403,NL1,25.9,14700,385000.0
40426,RU1,,20985,0.0
41,L1,23.6,57000,-6000000.0
443,DK1,25.5,10418,0.0
5724,DK1,24.7,10300,950000.0
601,BE1,24.0,9399,6580000.0
79,L1,23.7,60449,28300000.0
86,L1,26.3,42100,21310000.0
931,GB1,28.1,25700,-15870000.0
964,RU1,26.3,63026,15770000.0
1123,GB1,26.0,27244,-10330000.0
1268,NL1,23.5,15000,0.0
1506,TR1,,12400,0.0
1531,ES1,27.3,31388,1000000.0
2282,BE1,24.6,29062,28850000.0
2293,TR1,26.8,42000,1650000.0
23611,UKR1,,1678,0.0
2431,PO1,27.0,9288,0.0
2698,RU1,26.8,45379,-8010000.0
2760,SC1,27.9,10102,0.0
2944,TR1,23.8,19626,0.0
36,TR1,27.7,47834,-2510000.0
385,NL1,25.5,12500,4500000.0
468,NL1,24.8,11026,-650000.0
583,FR1,25.4,49691,-185500000.0
621,ES1,27.3,53289,0.0
65,L1,24.0,16626,3970000.0
6646,TR1,26.8,74753,2500000.0
683,GR1,26.4,32115,3370000.0
723,NL1,24.4,4500,0.0
855,FR1,25.4,18120,3700000.0
924,TR1,25.4,7500,-250000.0
968,BE1,24.0,8035,-16040000.0
985,GB1,26.0,74879,-146960000.0
11282,TR1,25.6,10128,800000.0
1132,GB1,24.8,21994,-107250000.0
1435,NL1,24.3,9909,-1190000.0
150,ES1,27.4,60721,38500000.0
152,TR1,26.3,33919,-3850000.0
172,BE1,24.6,15000,850000.0
18303,UKR1,23.9,7000,1220000.0
2410,RU1,24.8,30114,1600000.0
2503,PO1,24.4,28263,-100000.0
26459,UKR1,26.2,7122,-50000.0
2671,GR1,26.0,7652,0.0
2700,RU1,,1600,0.0
28095,RU1,24.4,15132,4840000.0
2999,SC1,22.8,6018,0.0
3368,ES1,27.5,26354,7800000.0
338,UKR1,24.2,16873,1200000.0
371,SC1,25.6,60832,9000000.0
506,IT1,26.4,41507,-23200000.0
618,FR1,25.1,42000,12850000.0
6992,UKR1,25.0,34164,0.0
820,TR1,26.1,20560,195000.0
1083,RU1,24.7,45415,1100000.0
1095,FR1,23.1,21877,0.0
121,RU1,25.3,25716,7600000.0
1420,FR1,24.2,19350,3500000.0
16245,UKR1,,5826,0.0
22110,DK1,24.6,4000,320000.0
23826,L1,25.3,47069,67200000.0
24245,TR1,25.8,3513,0.0
2687,ES1,28.7,21094,3500000.0
2696,RU1,25.0,42347,-880000.0
2919,IT1,26.7,16917,-43500000.0
317,NL1,24.3,30205,20100000.0
3209,TR1,28.2,2500,-4800000.0
339,UKR1,,24381,0.0
3524,FR1,26.3,13000,8900000.0
398,IT1,27.0,73261,10440000.0
4171,IT1,26.7,16867,-1930000.0
418,ES1,27.1,81044,-122500000.0
49702,RU1,25.4,44242,2200000.0
54189,BE1,24.6,11000,-25650000.0
6574,IT1,26.2,21584,39520000.0
7179,PO1,22.8,5000,50000.0
720,PO1,26.6,50033,34600000.0
738,FR1,25.2,25178,-2900000.0
89,L1,27.7,22012,-28900000.0
940,ES1,26.2,24870,19500000.0
1387,IT1,25.5,15373,0.0
1390,IT1,27.0,16412,-8120000.0
1416,FR1,24.1,12999,700000.0
1467,TR1,23.3,19713,1600000.0
167,L1,25.3,30660,17450000.0
232,RU1,24.8,44571,-32500000.0
2420,PO1,25.4,30029,18260000.0
2424,PO1,24.5,12046,7900000.0
2439,RU1,,31654,0.0
2703,RU1,,32464,0.0
289,GB1,23.5,48707,-6060000.0
2921,IT1,24.6,20476,4600000.0
3,L1,25.1,50000,200000.0
3719,RU1,24.7,18636,-595000.0
3729,RU1,27.4,19241,1800000.0
3840,TR1,26.0,33000,750000.0
430,IT1,25.1,43147,17520000.0
4482,UKR1,,12080,0.0
48726,UKR1,23.2,34725,0.0
5,IT1,26.0,75923,-50400000.0
512,GB1,26.7,30089,17000000.0
5818,DK1,24.8,7500,0.0
60949,GR1,25.9,22700,0.0
678,DK1,24.5,19433,11660000.0
7775,TR1,24.4,25000,7190000.0
826,FR1,25.7,38223,3640000.0
8838,UKR1,27.4,14628,0.0
897,ES1,27.7,32912,-435000.0
987,SC1,26.4,13750,586000.0
1063,DK1,23.2,10000,6490000.0
1085,PO1,26.0,18642,0.0
11,GB1,25.3,60704,-167040000.0
126,TR1,23.8,15332,-3410000.0
1627,IT1,26.0,20204,-101000.0
16795,ES1,27.5,19336,-9200000.0
204,BE1,,14538,0.0
2227,UKR1,,19978,0.0
2239,IT1,25.4,16003,5000000.0
252,IT1,26.2,34901,2880000.0
281,GB1,26.8,55017,-136800000.0
3302,ES1,25.0,18331,-7800000.0
39,L1,26.6,33305,14550000.0
3999,GR1,28.2,5500,0.0
405,GB1,26.9,42682,-67950000.0
441,GR1,27.3,11700,0.0
5219,GR1,28.1,3000,0.0
543,GB1,25.9,32050,75200000.0
60,L1,26.1,34700,34300000.0
61825,UKR1,24.4,1312,240000.0
63007,UKR1,26.8,10321,-550000.0
660,UKR1,23.6,34725,-26050000.0
6894,TR1,,2000,0.0
6912,PO1,24.8,6565,1800000.0
714,ES1,25.4,40500,5500000.0
798,NL1,23.3,4400,175000.0
862,IT1,,31045,0.0
8970,IT1,24.9,16227,8450000.0
9007,UKR1,,70050,0.0
12321,ES1,26.7,14624,-4350000.0
1241,SC1,27.3,9512,0.0
127,L1,25.7,15000,-450000.0
19,IT1,25.1,19550,3650000.0
23,L1,25.6,23325,750000.0
33,L1,26.4,62271,10300000.0
350,GB1,25.5,32702,-36050000.0
3592,UKR1,24.8,2500,260000.0
369,DK1,24.9,10000,3500000.0
3725,RU1,27.0,30200,-1300000.0
41201,RU1,,44149,0.0
472,ES1,26.4,32400,-4800000.0
520,BE1,22.6,29062,10500000.0
6418,GR1,25.8,7321,0.0
653,GR1,27.6,9088,1800000.0
6994,UKR1,,11883,0.0
7378,PO1,24.0,6000,-550000.0
982,PO1,25.0,5586,0.0
1005,IT1,23.9,31559,2580000.0
1038,IT1,24.3,36348,1750000.0
1091,GR1,27.5,28703,6550000.0
1210,IT1,24.1,19238,0.0
1245,BE1,24.2,8331,1100000.0
1426,NL1,22.9,8000,0.0
1533,ES1,28.3,8164,2600000.0
180,GB1,24.5,32384,2400000.0
19657,DK1,25.1,10000,-20000.0
234,NL1,24.0,47500,-2000000.0
2375,TR1,25.3,15000,1420000.0
2448,ES1,26.2,29029,5230000.0
2741,RU1,26.3,35000,-800000.0
2783,UKR1,,5090,0.0
3205,TR1,25.4,32864,1700000.0
3349,PO1,25.0,5401,325000.0
3385,GR1,25.9,9500,0.0
368,ES1,27.6,43883,-5500000.0
38,L1,25.9,54600,600000.0
3948,BE1,25.1,8000,19150000.0
415,FR1,23.1,33150,-5050000.0
416,IT1,25.1,28177,-33400000.0
417,FR1,23.9,36178,-35200000.0
44,L1,24.1,74667,6700000.0
467,NL1,24.8,12500,3180000.0
53646,UKR1,25.8,5928,-950000.0
631,GB1,23.2,40853,-198400000.0
749,IT1,25.9,19847,38850000.0
833,TR1,25.8,18745,0.0
865,DK1,24.8,11535,-3130000.0
10,L1,25.3,26515,5900000.0
10484,TR1,25.2,13856,-1000000.0
1049,ES1,24.5,49430,14000000.0
1053,DK1,24.5,13800,350000.0
1075,PO1,27.0,30286,-6000000.0
1269,NL1,25.2,14000,5000000.0
132,NL1,23.7,19000,115000.0
2292,TR1,25.3,23000,0.0
27,L1,26.4,75024,-6750000.0
2759,SC1,25.0,6541,-70000.0
2778,DK1,22.2,10300,17350000.0
29,GB1,27.1,39571,42300000.0
290,FR1,24.3,18541,0.0
30120,GR1,27.1,4851,0.0
306,NL1,24.2,27224,3100000.0
3268,PO1,25.2,6925,2280000.0
347,FR1,24.8,28786,23100000.0
3714,RU1,25.6,15000,601000.0
399,GB1,24.6,37890,930000.0
4083,IT1,27.0,16640,3900000.0
465,SC1,25.8,8023,-146000.0
48332,UKR1,26.5,5050,100000.0
533,L1,25.5,30150,-7300000.0
58,BE1,25.6,21500,8370000.0
607,IT1,25.6,11150,4830000.0
68608,PO1,25.7,19980,0.0
724,NL1,22.2,7384,1800000.0
800,IT1,26.8,21747,72820000.0
979,PO1,25.9,6153,-2050000.0
984,GB1,27.8,26850,-1350000.0
